"Grupo Niku,4"
"Grupo Causa,5"
"Colosal,1"
"Sushi Market,2"
"Misturas,1"
"Francorp,1"
"Marmoleo,2"
"Pigasus,1"
"Okus,1"
"WAN TAXCO VICTORIA YACKI BELISARIO HERENCIA GUZMAN Y MEZCAL,2"
"ENTREMADEROS PANKA RELATO CAPITULO,2"
"SUSHI LIGHT,1"
"MANBA PINK FORES Y CARBONERO TREINTA CINCO,2"
"RESTAURANTE RITWAL,1"
"OLIVIA CLAP BURGER,2"
"DELLA NONNA,2"
"123 WOK-ROCOTO,1"
"GRILL STATION,1"
"MONTOLIVO,2"
"DIMONTY,1"
"LA ENTERRADORA,2"
"Crepes & Wafles,1"
"Todod Fresa/ Parmesano,2"
"FP,5"
"BIGOS,1"
"Julychan,2"
"C.B RESORT HOTEL ZUANA,1"
"COSTA AZUL GHL,1"
"LUXURY HOTELS/ MARRIOTT,1"
"TENERIFE// HOTEL TAMACA,1"
"HOTEL ESTELAR,1"
"OPERADORES HOTELEROS / SANTORINI,1"
"SANTIS OPERDORES,1"
"ACCOR HOTELS // MERCURE,1"
"VIAJERO HOSTEL,1"
"PLEYADES COMERCIALIZADORA,1"
"MASSAYA OPERATIONS,1"
"GALEANO OBANDO CRISTHIAN,2"
"COCINA MODERNA,1"
"MILAGROSA / GRUPO CINTO,1"
"REDCOL / COLEGIO BURECHE,1"
"NELSON GOMEZ,1"
"GARCIA ACOSTA YESID,1"
"SABAMAR,1"
"CASIMAR / BK RESTAURANTE,1"
"INV T&Z / CHUCHO,1"
"LAMART,1"
"RADIO BURGER,1"
"LONG HANG,2"
"CROSSLAND STEPHANIE,1"
"SAMARIAN CO // CASA MAGDALENA,1"
"ANDRES HERNANDEZ,1"
"CUCINARE S.A.S,2"
"MIMI DIA SAS,1"
"GRUPO EMPRESARIAL RODIZIO SAS,1"
"ULTRAMAR INVERSIONES S.A.S,2"
"INBEMER S A S,1"
"PRADOMAR HOTEL SAS,2"
"INVERSIONES PEPE ANCA S.A.S.,1"
"CASA PRADO BARRANQUILLA S A S,2"
"CORPORACION COUNTRY CLUB DE BARRANQ,2"
"INVERSIONES MARQUESA SAS,1"
"DA NICO LELA S A S,1"
"INVIBE SAS,1"
"VANFRAN S.A.S,1"
"NINANIA S A S,1"
"INVERSIONES PASILLA S.A.S,1"
"INVERSIONES AMN SAS,1"
"INVERSIONES HERRADURA HOUSE S A S,1"
"HOTEL DANN CARLTON BARRANQUILLA S.A,1"
"CI SOLUOIL,2"
"CARNES SANTA CRUZ,2"
"FRIGORIFICO LA PARISIENNE,1"
"MER-K POLLO,1"
"QUINTANA DAMARIS,1"
"DISTRIEXPRES,2"
"OTERO DAVID,2"
"DISTRIBUCIONES RIOHACHA JYM,1"
"DISTRIMAX,1"
"HORTENCIA CARDENAS,1"
"FRIGOECOL,1"
"SALSAMENTARIA VIVERES Y POLLOS,1"
"SANCHEZ MEJIA FRANCIA,1"
"LUIS FERNANDO OSORIO/DISTRIBUIDORA Y SALSAMENTARIA LA GRANJA,1"
"JESUS ALONSO ARIAS CARVAJALINO/FINCA LA MARIA CACAHUALITO,2"
"MICHAEL GALLO HERNANDEZ/PROFINCA,2"
"HOTELES AZULES ON VACATIONS,3"
"OXXOHOTEL WAYA GUAJIRA,1"
"DECAMERON GALEON SANTA MARTA,2"
"CORPORACION RECREATIVA CORPOALBANIA,3"
"SIERRA ROMERO SANDRA MILENA,2"
"ANTONIO IGUARAN RIPOLL,1"
"HOPPE BUEGUER,1"
"CESAR CRUZCO MOSCOTE,1"
"QUIENTERO BERLY YHULIANA,1"
"DREAMER OPERETIONS,1"
"URIELES MEDRANO,1"
"GRUPO OUZO,2"
"GRUPO MARINA,2"
"SHIO ASIAN KITCHEN,2"
"THE BEER GARDEN,1"
"INVERSIONES CAÑAVERAL,1"
"PRAIA FOOD,2"
"ESLAIT MASON ELSA,2"
"ESLAIT MASON FARIDE,2"
"MARCO LOPEZ,1"
"MAKALI,1"
"ROJAS GONZALES JONATHAN EMIR,1"
"ALVAREZ RAMIRES MARTHA,1"
"WH HOTELES HILTON GARDEN INN,2"
"NICOLAS ABELLO,1"
"MATEO PEREZ,1"
"FOMBISOL,2"
"COMFAMILIAR ATLANTICO,2"
"COMBARRANQUILLA ATLANTICO,2"
"NADJAR GOMEZ SAS/ CHUZITOS,2"
"COMERCIALIZADORA CHOLOMAR CARIBE S,2"
"VIRAL BRANDS SAS,2"
"ESCALANTE BARRETO CAMILO ALFONSO,2"
"GYFU SAS/ TRIPULANTE,1"
"MI & MI RESTAURANTE Y SERVICIOS S.A.S,1"
"URBAN IQ SAS,1"
"NORI HAND ROLL S.A.S.,2"
"BRASAS Y BARRILES S A S,2"
"INVERSIONES AGROINDUSTRIALES DOÑA DOÑA S,3"
"ROYAL ULTRA S.A.S.,3"
"PASMOL SAS,1"
"INVERSIONES JAGUI S.A.S,1"
"MANE COCINA SAS,2"
"WAR & PENS COMPANY SAS,2"
"INVERSIONES CHEVERES S A S,1"
"NOA FOOD S.A.S,1"
"TOPPING BURGER S.A.S,1"
"COMERCIALIZADORA Y DISTRIBUIDORA,3"
"SUBS CORP S.A.S.,3"
"KINTO ELEMENTO SAS,2"
"GRUPO CERT S A S,1"
"KARLAC SAS,1"
"HOT AMERICAS FAVORITE PIZZA SAS,3"
"ROMA - ART SAS,1"
"GRUPO BRW S A S,2"
"OROZCO RAMOS LINA CECILIA,2"
"SUNSET MARINA SAS,1"
"SAN SALVADOR,2"
"CURRAMBA FAST FOOD COMPANY S A S,1"
"BIRRIA S A S,1"
"NAVAS ESTEFANY CLEMENTE,1"
"ILLIDGE SANCHEZ JORGE ALBERTO,2"
"DISTRIBUCIONES CASALINS-AL SAS ZOMAC,2"
"GRUPO EMPRESARIAL T&C SAS,2"
"LACOUTURE SCOPPETTA SANTIAGO ANTONIO,2"
"SEÑOR BROCHETA S.A.S,2"
"SOCIEDAD INVERSORA DE RESTAURANTES,2"
"DARLING RUEDA JIMENEZ,2"
"INVERSIONES SANDOVAL HERNANDEZ,1"
"ORLANDO SIERRA,1"
"PROMOTORA TURISTICA DEL CARIBE SA,1"
"AGUA DE LEON BAR SAS,1"
"ACCOR LUXURY COLOMBIA S.A.S,1"
"MARZOLA PARRILLA ARGENTINA SAS,1"
"OPERADORA SAN AGUSTIN SAS,1"
"CABRALES PAFFEN S A,1"
"D' RES STEAKHOUSE S.A.S,1"
"EL BURGUES MANGA SAS,1"
"SUPER LINEA,1"
"INTEGRADORES LOGISTICOS DEL CARIBE,1"
"SURTIDELICIAS,1"
"CESAR LOBO,1"
"OSPINA EDUARDO,1"
"ATRIUM FOOD SERVICES SAS,2"
"HOTELES DECAMERON COLOMBIA S.A.S,2"
"HOTEL SANTA CLARA SA,2"
"DE RES GOURMET S A S,2"
"MARTINEZ CORENA PATRICIA MERCEDES,2"
"CARIBE PERUANO SAS,2"
"HOTELES DE LA ANTIGUA SAS,2"
"SERVINCLUIDOS LTDA,2"
"PARAMO CAMACHO YEIMI TATIANA,2"
"AMAYA GOMEZ ANA MARIA,2"
"T&M ASOCIADOS SAS,2"
"GRUPO HEROICA SAS,2"
"GRUPO LC SAS,2"
"INVERSIONES M S.A.S,2"
"INVERSIONES JUAN DEL MAR SAS,2"
"GUTIERREZ TORRES FERNANDO DAVID,2"
"DISRA INVERSIONES SAS,2"
"CHRISNAIS INVESTMENTS SAS,2"
"PRACTY-CO SAS,2"
"1811 HISTORY GROUP SAS,2"
"CORPORACION MATIMBA CLUB & SPA,2"
"NUTRIMOS Y SERVIMOS SAS,2"
"HOTELES ESTELAR SA,2"
"AHUMADOS DEL VALLE,1"
"FOOD SERVICE,1"
"CAÑAVERAL,1"
"CALI CARNES,1"
"LACALI,1"
"DISTRIBUIDORA H & M SAS,1"
"TDT,1"
"CHEERS / BURGER STACK,1"
"LA SEVILLANA,1"
"EL GRINGO / LA RUSTICA / SUSHIGOOD,1"
"STORIA D´AMORE,1"
"PURA CASTA,1"
"SR WOK,1"
"MR WINGS,1"
"EL PASO,1"
"PALOMULATA,1"
"LA BUENA VIDA / UN JARDIN SOBRE EL CIELO,1"
"DAINO BBQ,1"
"PAMPA,1"
"OLD JACK,1"
"CLUB CAMPESTRE FARALLONES,1"
"SUSHI BREAK,1"
"CARBONES Y PARRILLA,1"
"LA COSTILLOTA,1"
"SIGA LA VACA,1"
"ANANDAS,1"
"BARBAROS,1"
"DUQUESA,1"
"SALAMANCA,1"
"IZUMI,1"
"LA QUERENCIA,1"
"VALLE CATALINA,1"
"TURK HOUSE,1"
"CANTINA LA 15,1"
"VOLCANO,1"
"TRIBAL LLANERO,1"
